YEAR,STATE,ENERGY SOURCE,GENERATION (Megawatthours),,,,,,
1990,WY,Natural Gas,"268,202",,,,,,
1990,WY,Other,"45,396",,,,,,
1990,WY,Other Gases,"8,642",,,,,,
1990,WY,Petroleum,"49,205",,,,,,
1990,WY,Wood and Wood Derived Fuels,"50,440",,,,,,
1991,AK,Total,"5,389,828",,,,,,
1991,AK,Coal,"520,514",,,,,,
1991,AK,Hydroelectric Conventional,"896,113",,,,,,
1991,AK,Natural Gas,"3,319,395",,,,,,
1991,AK,Petroleum,"513,425",,,,,,
1991,AK,Wind,0,,,,,,
1991,AK,Wood and Wood Derived Fuels,"140,381",,,,,,
1991,AL,Total,"88,786,612",,,,,,
1991,AL,Coal,"58,222,842",,,,,,
1991,AL,Hydroelectric Conventional,"10,757,723",,,,,,
1991,AL,Natural Gas,"1,222,500",,,,,,
1991,AL,Nuclear,"15,874,637",,,,,,
1991,AL,Other Biomass,"31,330",,,,,,
1991,AL,Other Gases,"293,206",,,,,,
1991,AL,Petroleum,"167,824",,,,,,
1991,AL,Wood and Wood Derived Fuels,"2,216,550",,,,,,
1991,AR,Total,"40,651,244",,,,,,
1991,AR,Coal,"19,644,712",,,,,,
1991,AR,Hydroelectric Conventional,"3,546,966",,,,,,
1991,AR,Natural Gas,"3,324,886",,,,,,
1991,AR,Nuclear,"12,661,793",,,,,,
1991,AR,Other Biomass,"16,613",,,,,,
1991,AR,Petroleum,"68,257",,,,,,
1991,AR,Pumped Storage,"14,103",,,,,,
1991,AR,Wood and Wood Derived Fuels,"1,373,914",,,,,,
1991,AZ,Total,"67,202,551",,,,,,
1991,AZ,Coal,"32,557,748",,,,,,
1991,AZ,Hydroelectric Conventional,"6,735,540",,,,,,
1991,AZ,Natural Gas,"2,226,388",,,,,,
1991,AZ,Nuclear,"25,095,776",,,,,,
1991,AZ,Petroleum,"117,399",,,,,,
1991,AZ,Pumped Storage,"362,912",,,,,,
1991,AZ,Wood and Wood Derived Fuels,"106,788",,,,,,
1991,CA,Total,"158,947,642",,,,,,
1991,CA,Coal,"2,632,419",,,,,,
1991,CA,Geothermal,"14,784,796",,,,,,
1991,CA,Hydroelectric Conventional,"21,957,064",,,,,,
1991,CA,Natural Gas,"74,006,160",,,,,,
1991,CA,Nuclear,"31,541,799",,,,,,
1991,CA,Other,"5,112",,,,,,
1991,CA,Other Biomass,"2,471,400",,,,,,
1991,CA,Other Gases,"1,978,403",,,,,,
1991,CA,Petroleum,"1,970,119",,,,,,
1991,CA,Pumped Storage,"99,860",,,,,,
1991,CA,Solar Thermal and Photovoltaic,"471,361",,,,,,
1991,CA,Wind,"2,914,505",,,,,,
1991,CA,Wood and Wood Derived Fuels,"4,114,644",,,,,,
1991,CO,Total,"32,321,593",,,,,,
1991,CO,Coal,"29,134,010",,,,,,
1991,CO,Hydroelectric Conventional,"1,794,290",,,,,,
1991,CO,Natural Gas,"1,314,681",,,,,,
1991,CO,Other Biomass,"58,832",,,,,,
1991,CO,Petroleum,"37,910",,,,,,
1991,CO,Pumped Storage,"-18,130",,,,,,
1991,CT,Total,"27,036,467",,,,,,
1991,CT,Coal,"3,633,427",,,,,,
1991,CT,Hydroelectric Conventional,"433,338",,,,,,
